Ticket,Open Time,Type,Volume,Symbol,Price,S / L,T / P,Close Time,Close Price,Commission,Swap,Profit,Comment
12345001,2024.01.15 08:23:45,buy,0.10,EURUSD,1.09245,1.08800,1.09800,2024.01.15 10:45:22,1.09612,-0.70,0.00,36.70,London BO
12345002,2024.01.15 14:12:03,sell,0.20,GBPUSD,1.27340,1.27800,1.26700,2024.01.15 16:38:55,1.26958,-1.40,0.00,76.40,NY session
12345003,2024.01.16 03:45:11,buy,0.05,USDJPY,145.820,145.200,146.800,2024.01.16 07:22:44,144.960,-0.35,0.00,-44.22,Asian range
12345004,2024.01.17 09:05:33,sell,0.15,XAUUSD,2025.50,2035.00,2010.00,2024.01.17 11:30:18,2018.30,-2.10,-0.85,-39.00,Gold rejection
12345005,2024.01.18 13:55:20,buy,0.10,GBPJPY,183.450,182.800,184.500,2024.01.18 15:44:09,184.120,-0.70,0.00,52.50,NY open
12345006,2024.01.19 08:01:47,buy,0.25,EURUSD,1.08820,1.08400,1.09400,2024.01.19 09:15:30,1.08650,-1.75,0.00,-42.50,Failed BO
12345007,2024.01.22 07:30:05,sell,0.10,GBPUSD,1.27150,1.27550,1.26500,2024.01.22 10:02:17,1.26732,-0.70,0.00,41.80,OB retest
12345008,2024.01.23 14:22:41,buy,0.30,NAS100,17245.0,17100.0,17500.0,2024.01.23 16:55:03,17418.0,-2.10,0.00,51.60,NY breakout
12345009,2024.01.24 08:45:19,sell,0.05,USDCHF,0.86420,0.86800,0.85900,2024.01.24 12:18:44,0.85984,-0.35,0.12,22.90,London trend
12345010,2024.01.25 21:05:38,buy,0.20,EURUSD,1.08530,1.08100,1.09200,2024.01.26 00:22:11,1.09015,-1.40,-0.30,97.00,African sess
